minutes,timestamp,asi,vsi,pitchAngle,densityAltitude
0.0,486454570,43.412526997840175,125,,-716.28
0.0,486454570,,,-2.0,
0.0,486454570,,,-0.7,
0.0,486454570,52.105831533477314,100,,-715.0400000000001
0.03333333333333333,486454572,,,-3.7,
0.03333333333333333,486454572,57.34341252699784,34,,-835.0400000000001
0.03333333333333333,486454572,,,-3.6,
0.03333333333333333,486454572,63.39092872570194,99,,-711.32
0.06666666666666667,486454574,,,-2.8,
0.06666666666666667,486454574,69.49244060475162,124,,-832.56
0.1,486454576,,,-3.1,
0.1,486454576,79.04967602591793,212,,-700.16
0.1,486454576,,,-3.5,
0.1,486454576,77.32181425485962,152,,-711.32
0.1,486454576,,,-1.2,
0.11666666666666667,486454578,79.91360691144709,-381,,-724.9599999999999
0.11666666666666667,486454578,,,1.6,
0.16666666666666666,486454580,85.1511879049676,278,,-703.88
0.16666666666666666,486454580,,,2.2,
0.16666666666666666,486454580,,,3.5,
0.16666666666666666,486454580,86.87904967602591,477,,-686.52
0.2,486454582,,,4.8,
0.2,486454582,89.47084233261339,748,,-661.72
0.2,486454582,,,5.6,
0.2,486454582,90.33477321814254,1134,,-631.96
0.23333333333333334,486454584,,,6.3,
0.23333333333333334,486454584,95.57235421166305,1441,,-589.8
0.23333333333333334,486454584,,,6.5,
0.26666666666666666,486454586,96.43628509719221,1589,,-548.88
0.26666666666666666,486454586,,,6.9,
0.26666666666666666,486454586,99.89200863930884,1886,,-500.5200000000001
0.26666666666666666,486454586,,,6.8,
0.2833333333333333,486454592,102.53779697624188,1803,,-464.55999999999995
0.2833333333333333,486454592,,,6.2,
0.2833333333333333,486454592,,,5.7,
0.3333333333333333,486454594,100.755939524838,1654,,-434.79999999999995
0.3333333333333333,486454594,,,5.8,
0.3333333333333333,486454594,101.61987041036716,1295,,-413.72
0.3333333333333333,486454594,,,5.5,
0.36666666666666664,486454596,103.40172786177106,992,,-401.32000000000005
0.36666666666666664,486454596,,,4.7,
0.36666666666666664,486454596,103.40172786177106,1156,,-372.79999999999995
0.4166666666666667,486454598,,,5.1,
0.4166666666666667,486454598,103.40172786177106,1245,,-339.31999999999994
0.4166666666666667,486454598,,,5.3,
0.4166666666666667,486454598,103.40172786177106,1346,,-303.3599999999999
0.43333333333333335,486454600,,,4.7,
0.43333333333333335,486454600,104.26565874730022,1315,,-278.56000000000006
0.43333333333333335,486454600,,,5.4,
0.4666666666666667,486454603,104.26565874730022,1268,,-255.0
0.4666666666666667,486454603,,,5.8,
0.4666666666666667,486454603,,,5.3,
0.4666666666666667,486454603,105.99352051835854,1193,,-221.51999999999998
0.5166666666666667,486454605,,,5.9,
0.5166666666666667,486454605,105.99352051835854,1742,,-180.60000000000014
0.5166666666666667,486454605,,,5.7,
0.5166666666666667,486454605,105.12958963282938,1412,,-155.79999999999995
0.5333333333333333,486454607,,,5.6,
0.5333333333333333,486454607,108.58531317494601,1727,,-106.19999999999993
0.5333333333333333,486454607,,,6.0,
0.5833333333333334,486454609,106.8574514038877,1503,,-77.68000000000006
0.5833333333333334,486454609,,,5.7,
0.5833333333333334,486454609,105.12958963282938,1439,,-50.39999999999998
0.5833333333333334,486454609,,,5.9,
0.6166666666666667,486454611,105.12958963282938,1422,,-10.720000000000027
0.6166666666666667,486454611,,,6.0,
0.6166666666666667,486454611,103.40172786177106,1611,,25.24000000000001
0.6166666666666667,486454611,,,6.3,
0.6333333333333333,486454613,,,6.9,
0.6333333333333333,486454613,104.26565874730022,1707,,64.91999999999996
0.6333333333333333,486454613,,,6.9,
0.6833333333333333,486454615,104.26565874730022,1431,,89.72000000000014
0.6833333333333333,486454615,,,7.2,
0.6833333333333333,486454615,103.40172786177106,1379,,121.96000000000004
0.7166666666666667,486454617,,,5.8,
0.7166666666666667,486454617,102.53779697624188,1398,,146.76
0.7166666666666667,486454617,,,5.0,
0.7166666666666667,486454617,104.26565874730022,1336,,172.79999999999995
0.7333333333333333,486454619,,,5.2,
0.7333333333333333,486454619,105.99352051835854,1365,,211.24000000000012
0.7333333333333333,486454619,,,5.2,
0.7833333333333333,486454621,109.44924406047517,1874,,265.79999999999995
0.7833333333333333,486454621,,,4.5,
0.7833333333333333,486454621,110.31317494600432,1600,,293.08000000000004
0.7833333333333333,486454621,,,4.9,
0.8,486454623,104.26565874730022,1027,,178.03999999999996
0.8,486454623,,,5.2,
0.85,486454625,,,4.3,
0.85,486454625,105.12958963282938,1250,,347.64
0.85,486454625,,,2.5,
0.85,486454625,105.99352051835854,1453,,262.36
0.85,486454625,,,4.0,
0.8833333333333333,486454627,106.8574514038877,1344,,412.12000000000006
0.8833333333333333,486454627,,,4.1,
0.8833333333333333,486454627,108.58531317494601,1415,,325.5999999999999
0.9166666666666666,486454629,,,4.6,
0.9166666666666666,486454629,108.58531317494601,1134,,336.76
0.9166666666666666,486454629,,,3.7,
0.9166666666666666,486454629,110.31317494600432,1653,,386.36
0.9333333333333333,486454631,,,3.2,
0.9333333333333333,486454631,110.31317494600432,1493,,406.19999999999993
0.9333333333333333,486454631,,,3.1,
0.9666666666666667,486454633,108.58531317494601,1278,,438.43999999999994
0.9666666666666667,486454633,,,3.0,
0.9666666666666667,486454633,108.58531317494601,1463,,471.91999999999996
0.9666666666666667,486454633,,,3.2,
1.0166666666666666,486454635,109.44924406047517,1499,,496.72
1.0166666666666666,486454635,,,3.1,
1.0166666666666666,486454635,110.31317494600432,1724,,545.08
1.0166666666666666,486454635,,,4.0,
1.05,486454637,109.44924406047517,1454,,561.1999999999999
1.05,486454637,,,2.9,
1.05,486454637,112.95896328293736,2283,,635.5999999999999
1.0833333333333333,486454639,,,3.5,
1.0833333333333333,486454639,112.95896328293736,2069,,659.1599999999999
1.0833333333333333,486454639,,,3.8,
1.0833333333333333,486454639,109.44924406047517,1705,,686.4399999999999
1.1166666666666667,486454641,,,3.6,
1.1166666666666667,486454641,110.31317494600432,2395,,754.6399999999999
1.1166666666666667,486454641,,,5.0,
1.1166666666666667,486454641,104.26565874730022,1421,,763.32
1.15,486454643,,,4.2,
1.15,486454643,108.58531317494601,2005,,822.84
1.15,486454643,,,4.2,
1.15,486454643,106.8574514038877,1570,,837.7199999999999
1.1666666666666667,486454645,,,5.3,
1.1666666666666667,486454645,106.8574514038877,1652,,873.68
1.1666666666666667,486454645,,,4.4,
1.2166666666666666,486454647,102.53779697624188,1410,,899.7200000000001
1.2166666666666666,486454647,,,3.9,
1.2166666666666666,486454647,103.40172786177106,1386,,930.72
1.2166666666666666,486454647,,,4.1,
1.25,486454649,102.53779697624188,1178,,951.8000000000001
1.25,486454649,,,3.3,
1.25,486454649,102.53779697624188,1023,,854.12
1.25,486454649,,,3.9,
1.2833333333333334,486454651,105.12958963282938,1398,,875.2
1.2833333333333334,486454651,,,4.2,
1.2833333333333334,486454651,105.99352051835854,1653,,931.0000000000001
1.3,486454657,,,5.2,
1.3,486454657,105.99352051835854,1450,,954.5600000000002
1.3,486454657,,,4.8,
1.35,486454659,103.40172786177106,1134,,969.44
1.35,486454659,,,2.6,
1.35,486454659,104.26565874730022,927,,1000.4399999999998
1.35,486454659,,,0.5,
1.3833333333333333,486454661,106.8574514038877,724,,1000.4399999999998
1.3833333333333333,486454661,,,-1.3,
1.3833333333333333,486454661,108.58531317494601,371,,993.0
1.3833333333333333,486454661,,,-2.4,
1.4166666666666667,486454663,,,-4.3,
1.4166666666666667,486454663,112.0950323974082,-7,,990.5200000000001
